ID,Quote Candidate,Book,Book Number,Character,Verification Status,Source Type,Source URL,Additional Sources,Context,Chapter,Page / Location,Humor Category,Spoiler Level,Standalone Quality,App Candidate,User Verified,Favorite,Research Confidence,Research Notes,Date Added
1,"Fear not, Bartholomew! Every day has its dog.",The Knight and the Moth,1,Bartholomew,Wording conflict,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://www.goodreads.com/quotes/12883052-fear-not-bartholomew-every-day-has-its-dog; https://quotefancy.com/rachel-gillig-quotes; https://nextchaptershop.us/products/the-unlikely-trio-tee; https://nextchaptershop.us/products/the-unlikely-trio-crewneck; https://thebeanworkshop.store/products/the-knight-and-the-moth-sherpa-blanket,"Fan-favorite catchphrase, printed on licensed merch.",12,147,Absurd,None,5,TRUE,FALSE,FALSE,High,"Wording conflict: the blog and Goodreads use ""Fear not, Bartholomew! Every day has its dog."" while licensed merch renders ""Fear not, Bartholomew. Every day has its dog!"" (period and exclamation swapped).",2026-09-19
2,I confess horses are not the intelligent beasts I imagined them to be. Though I don't think that merits the abuse they suffer postmortem.,The Knight and the Moth,1,Bartholomew,Unverified,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://www.goodreads.com/work/quotes/211353763-the-knight-and-the-moth; https://onebookmore.com/2025/06/28/loving-the-lines-quotes-the-knight-and-the-moth/; http://fullybookedfantasy.com/,"Sybil explains the idiom ""beating a dead horse"" to the gargoyle.",12,143,"Absurd, Deadpan",None,5,TRUE,FALSE,FALSE,High,"Mangled-proverb exchange; one of the signature Bartholomew idiom-mangling scenes. EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken lines; removed Sybil's narration and her lines (""No one actually beats dead horses, gargoyle. It's an expression."").",2026-09-19
3,Bartholomew does not know how to swim. But worry not—She has always excelled at drowning.,The Knight and the Moth,1,Bartholomew,Partial quote,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://www.goodreads.com/notes/218422159-the-knight-and-the-moth/175662213-madison/6995db94-9d51-4b08-b2c3-15848e019f8c?ref=rnlp; https://www.goodreads.com/author/quotes/21163293.Rachel_Gillig?page=4; https://www.librarything.com/work/32299790/t/The-Knight-and-the-Moth,"Recap sites place it around ch. 19, at a waterfall scene. LibraryThing lists it as the work's featured quotation.",19,244,Deadpan,Minor,5,FALSE,FALSE,FALSE,High,"PARTIAL: one word is redacted (likely ""of"") in every online source found. Minor conflict: one LibraryThing reviewer's transcription says ""Smiled profoundly"" vs ""Smiled proudly"" in all other sources. EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken lines; removed narration (""the gargoyle said"", ""He looked up at me. Smiled proudly."").",2026-09-19
4,"Oh, Bartholomew. He's dreamy.",The Knight and the Moth,1,Bartholomew,Unverified,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://www.goodreads.com/quotes/12883050-she-s-a-guest-of-the-king-s-affront-her-in-any; https://onebookmore.com/2025/06/28/loving-the-lines-quotes-the-knight-and-the-moth/; http://cjrthebrit.com/2025/04/28/arc-review-the-knight-and-the-moth-by-rachel-gillig/,"Follows Rory's decree threatening ""full immunity to any carnage tended"" against anyone who harms Sybil. Fan favorite; one Goodreads user reported ""laughing so hard I have tears"" at p. 203.",16,202,"Reaction, Absurd",Minor,4,TRUE,FALSE,FALSE,High,"Minor caps variant (""OH, Bartholomew"") in one Goodreads reading-progress note. Also referenced in TikTok captions (@intotheplot). EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken line; removed narration (""The gargoyle batted his eyes."").",2026-09-19
5,I am years beyond my wisdom.,The Knight and the Moth,1,Bartholomew,Unverified,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://www.goodreads.com/author/quotes/21163293.Rachel_Gillig?page=4; https://onebookmore.com/2025/06/28/loving-the-lines-quotes-the-knight-and-the-moth/; http://fullybookedfantasy.com/,"Maude asks how he knows so much about life; he preens with a mangled ""wise beyond my years.""",26,318,"Absurd, Deadpan",None,4,TRUE,FALSE,FALSE,High,"The Goodreads author-quotes page adds the lead-in line ""That is a very keen thing to say, gargoyle."" from Maude. EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken line; removed Maude's question and narration (""His chest puffed with pride."").",2026-09-19
6,"It is important for a squire to carry a knight's weapons. I will carry them for you, Bartholomew. I will shoulder any weight you give me.",The Knight and the Moth,1,Bartholomew,Unverified,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://quotefancy.com/rachel-gillig-quotes; https://www.goodreads.com/quotes/tag/screaming-crying-throwing-up,The gargoyle appoints himself Sybil's squire; an emotional devotion beat.,20,246,Wholesome,Minor,3,FALSE,FALSE,FALSE,High,"The Goodreads tag page adds Sybil's narration: ""Oh, I thought, a great swelling in my chest. To be a gargoyle. To be my gargoyle."" EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken lines; removed Sybil's narration (""the words so stoic I wondered if he'd practiced them on the flight back"").",2026-09-19
7,"""Don't worry, Bartholomew. If you accidentally kill her, I will not be upset.""",The Knight and the Moth,1,Bartholomew,Unverified,Goodreads,https://www.goodreads.com/quotes/13202682-don-t-worry-bartholomew-the-gargoyle-called-if-you-accidentally-kill,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,Action scene; no scene details given by the source.,18,227,"Threat, Deadpan",Minor,5,TRUE,FALSE,FALSE,High,"Identical wording on the Goodreads quote page and in the author-approved licensed-shop blog — two independent confirmations. EDIT 2026-09-19 (Bartholomew-only rule): merged into one line; removed attribution tag (""the gargoyle called"").",2026-09-19
8,How undignified. Did anyone see me fall?,The Knight and the Moth,1,Bartholomew,Unverified,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://www.goodreads.com/work/quotes/211353763-the-knight-and-the-moth; https://www.goodreads.com/quotes/tag/lmao,Sybil and the gargoyle crash-land together.,15,193,"Complaint, Absurd",None,5,TRUE,FALSE,FALSE,High,"EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken lines; removed Sybil's narration (""We fell in a tangle, my foot in his ear, his left wing lodging under my ribs."", ""The gargoyle let out a whimper."").",2026-09-19
9,"Do something, Bartholomew! Bite off his leg if you must!",The Knight and the Moth,1,Bartholomew,Unverified,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://www.goodreads.com/quotes/tag/lmao; https://nichequotes.com/lmao-quotes,The gargoyle panicking mid-fight.,15,195,"Threat, Unhinged",Minor,4,TRUE,FALSE,FALSE,High,"Punctuation variants across sources (mixed single/double quotes; one aggregator omits the closing quote); core wording consistent. EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken lines; removed narration (""The gargoyle was wringing his hands, dancing nervously on his toes."").",2026-09-19
10,"Sometimes, Bartholomew, I think her quite the bitch.",The Knight and the Moth,1,Bartholomew,Wording conflict,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://www.goodreads.com/book/show/205335957/reviews,"King Castor points at a Diviner (""the pretty one""); the gargoyle snarks.",7,75,Insult,Minor,4,TRUE,FALSE,FALSE,Medium,"Wording conflict: comma vs. semicolon after ""Bartholomew"". One Goodreads 5-star review quotes an extended exchange with apparent typos (""Who would? fault me for that""); the extended tail appears in only that review — treat cautiously.",2026-09-19
11,"Overhead, the gargoyle was soaring and spinning, bidding ""welfare"" instead of ""farewell"" to the fading night.",The Knight and the Moth,1,Bartholomew,Rejected,Author/Publisher,https://nextchaptershop.us/blogs/news/convincing-you-to-read-the-knight-and-the-moth-with-quotes-from-bartholomew,https://www.goodreads.com/quotes/list/135988140-shawna-landers,"Narration, not dialogue — Sybil describing the gargoyle flying.",10,113,"Absurd, Wholesome",None,3,FALSE,FALSE,FALSE,Medium,"Candidate is Sybil's narration about the gargoyle, not his dialogue — less representative of his voice. EDIT 2026-09-19 (Bartholomew-only rule): REJECTED: this is Sybil's narration describing the gargoyle (""bidding welfare instead of farewell""), not a line Bartholomew speaks.",2026-09-19
12,By the seat of my skirts.,The Knight and the Moth,1,Bartholomew,Unverified,Goodreads,https://www.goodreads.com/author/quotes/21163293.Rachel_Gillig?page=4,,Flight scene.,23,289,Absurd,Minor,3,FALSE,FALSE,FALSE,Medium,"Single source. ""soring"" preserved exactly as found (likely ""soaring""); needs corroboration. EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken line; removed Sybil's narration and her line (""'Seat of my pants,' I called over the wind."").",2026-09-19
13,"I say, Bartholomew. Is a road still a road if no one rode upon it?",The Knight and the Moth,1,Bartholomew,Unverified,Goodreads,https://www.goodreads.com/book/show/205335957/reviews,,Travel scene; the gargoyle philosophizing from a cart.,15,187,"Observation, Absurd",None,3,FALSE,FALSE,FALSE,Medium,"Single source — a Goodreads reviewer quoting it as a favorite line. EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken lines; removed narration (""The gargoyle was leaning over the lip of the cart."").",2026-09-19
,"""Let's hope you never die."" ""I hear graves are rather constrictive.""",The Knight and the Moth,1,Bartholomew,Unverified,Other,https://fable.co/book/the-knight-and-the-moth-by-rachel-gillig-9780316573788,,None given by the source.,,,"Deadpan, Threat",Minor,4,TRUE,FALSE,FALSE,Low,"Single source (a Fable community post by ""Lily :)""); needs corroboration. EDIT 2026-09-19 (Bartholomew-only rule): trimmed to Bartholomew's spoken lines; removed the opening line (""I hate tight, dark places.""), whose speaker is unverified.",2026-09-19
,"""Look, Bartholomew, Hair!"" ""Not one hair, a great many, and all upon an adorable little creature."" ""I want to catch it and put it in my mouth and let it build a nest there.""",The Knave and the Moon,2,Bartholomew,Unverified,Review/Blog,https://booksofmyheart.net/?p=71563,https://booksofmyheart.net/2026/09/07/%f0%9f%8e%a7-the-knave-and-the-moon-by-rachel-gillig/; https://www.goodreads.com/book/show/241564688-the-knave-and-the-moon,"Bartholomew spots a hare, mishears ""hare"" as ""hair,"" wants to catch it and let it build a nest in his mouth. No plot significance.",,,"Absurd, Unhinged",None,5,TRUE,FALSE,FALSE,High,"The ""Look, Bartholomew… Hair!"" opener appears only in the booksofmyheart review (Medium on that fragment alone). Sybil's interjection (""A hare?"") removed. Most-shared Book 2 Bartholomew moment found.",2026-09-19
